round,Completed_iteration,total_simulations,average_sim_per_it,max_reward,total_wins,total_losses,total_wins_per_it
0,343,120690,351.865889212828,149.0,33,26,0.09620991253644315
1,334,113031,338.41616766467064,137.0,33,31,0.09880239520958084
2,356,121370,340.9269662921348,152.0,23,25,0.06460674157303371
3,348,119561,343.56609195402297,165.5,31,16,0.08908045977011494
4,355,120018,338.07887323943663,163.5,35,21,0.09859154929577464
5,360,120601,335.0027777777778,148.0,23,29,0.06388888888888888
6,348,119139,342.3534482758621,149.5,23,24,0.06609195402298851
7,300,101136,337.12,130.0,23,21,0.07666666666666666
8,351,118809,338.4871794871795,152.5,20,22,0.05698005698005698
9,332,109079,328.55120481927713,140.5,33,28,0.09939759036144578
10,338,112488,332.8047337278106,154.0,33,21,0.09763313609467456
