round,Completed_iteration,total_simulations,average_sim_per_it,max_reward,total_wins,total_losses,total_wins_per_it
0,1000,157464,157.464,-19.5,0,0,0.0
1,1000,161590,161.59,-5.0,0,0,0.0
2,1000,157048,157.048,-12.0,0,0,0.0
3,1000,153578,153.578,-12.5,0,0,0.0
4,1000,151530,151.53,-13.0,0,0,0.0
5,1000,154130,154.13,-12.5,0,0,0.0
6,1000,153360,153.36,-229.0,0,0,0.0
7,1000,152164,152.164,-14.0,0,0,0.0
8,1000,149016,149.016,-14.5,0,0,0.0
9,1000,152340,152.34,-16.5,0,0,0.0
10,1000,158136,158.136,-17.0,0,0,0.0
11,1000,157046,157.046,-18.0,0,0,0.0
12,1000,158597,158.597,-15.0,0,0,0.0
13,1000,155331,155.331,-15.5,0,0,0.0
14,1000,166390,166.39,-14.0,0,0,0.0
15,1000,159095,159.095,-12.5,0,0,0.0
16,1000,160627,160.627,-14.5,0,0,0.0
17,1000,162400,162.4,-10.5,0,0,0.0
18,1000,161568,161.568,-13.0,0,0,0.0
19,1000,154076,154.076,-12.0,0,0,0.0
20,1000,163615,163.615,-11.5,0,0,0.0
21,1000,163212,163.212,-13.5,0,0,0.0
22,1000,167590,167.59,-19.5,0,0,0.0
23,1000,172365,172.365,-24.5,0,0,0.0
